facility,period,variable,variable_clean,flag,indicator,region,district
Kasodo Health Centre III,2020-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2020-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2021-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2022-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2023-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2023-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2023-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2023-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kasodo Health Centre III,2023-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Kaukura Health Centre II,2020-01-01,27,27,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-02-01,42,42,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-03-01,45,45,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-04-01,28,28,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-05-01,51,51,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-06-01,26,26,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-07-01,20,20,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-08-01,15,15,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-09-01,14,14,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-10-01,32,32,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-11-01,56,56,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-12-01,55,55,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-01-01,78,78,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-02-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-03-01,150,150,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-04-01,105,105,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-05-01,404,404,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-06-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-07-01,98,98,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-08-01,23,23,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-09-01,275,275,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-10-01,366,366,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-11-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2021-12-01,800,800,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-01-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-02-01,552,552,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-03-01,569,569,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-04-01,636,636,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-05-01,507,507,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-06-01,655,655,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-07-01,1221,1221,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-08-01,1619,948.3333333333334,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-09-01,1351,675.6666666666667,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-10-01,403,403,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-11-01,873,873,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2022-12-01,572,572,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2023-01-01,498,498,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2023-02-01,100,100,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2023-03-01,43,43,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2023-04-01,381,381,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2023-05-01,240,240,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Kaukura Health Centre II,2020-01-01,16,16,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-02-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-03-01,15,15,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-04-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-05-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-06-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-07-01,16,16,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-08-01,8,8,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-09-01,23,23,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-10-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-11-01,20,20,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-12-01,21,21,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-01-01,17,17,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-02-01,0,16.5,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-03-01,16,16,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-04-01,19,19,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-05-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-06-01,0,17.5,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-07-01,24,24,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-08-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-09-01,15,15,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-10-01,18,18,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-11-01,21,21,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2021-12-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-01-01,0,18,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-02-01,23,23,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-03-01,18,18,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-04-01,19,19,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-05-01,15,15,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-06-01,22,22,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-07-01,13,13,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-08-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-09-01,14,14,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-10-01,15,15,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-11-01,11,11,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2022-12-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2023-01-01,9,9,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2023-02-01,12,12,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2023-03-01,0,11,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2023-04-01,10,10,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2023-05-01,15,15,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Kaukura Health Centre II,2020-01-01,5,5,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-02-01,13,13,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-03-01,15,15,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-04-01,12,12,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-06-01,8,8,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-09-01,22,22,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-11-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-01-01,2,2,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-03-01,4,4,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-04-01,19,19,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-05-01,11,11,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-07-01,23,23,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-08-01,13,13,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-09-01,15,15,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-10-01,18,18,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-11-01,21,21,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2021-12-01,13,13,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-02-01,23,23,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-03-01,18,18,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-04-01,19,19,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-05-01,15,15,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-06-01,22,22,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-07-01,13,13,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-08-01,14,14,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-09-01,14,14,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-10-01,15,15,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-11-01,11,11,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2022-12-01,10,10,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2023-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2023-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2023-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2023-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2023-05-01,3,3,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Kaukura Health Centre II,2020-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2020-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-03-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-04-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-05-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-06-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-07-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-08-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-09-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-10-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-11-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2021-12-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Kaukura Health Centre II,2022-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
